Fecha,Interlomas,Pabellón Bosques,Oceanía,Samara,,,,,,,,,,,,,,,,,,,,,,,
ene-24,850k,,"1,371k",,,,,,,,,,,,,,,,,,,,,,,,
feb-24,850k,,"1,263k",,,,,,,,,,,,,,,,,,,,,,,,
mar-24,850k,,"1,400k",,,,,,,,,,,,,,,,,,,,,,,,
abr-24,850k,,"1,231k",,,,,,,,,,,,,,,,,,,,,,,,
may-24,850k,,"1,291k",,,,,,,,,,,,,,,,,,,,,,,,
jun-24,850k,,"1,341k",,,,,,,,,,,,,,,,,,,,,,,,
jul-24,850k,,"1,404k",,,,,,,,,,,,,,,,,,,,,,,,
ago-24,850k,,"1,419k",,,,,,,,,,,,,,,,,,,,,,,,
sep-24,850k,,"1,270k",,,,,,,,,,,,,,,,,,,,,,,,
oct-24,745k,,"1,332k",,,,,,,,,,,,,,,,,,,,,,,,
nov-24,786k,,"1,419k",,,,,,,,,,,,,,,,,,,,,,,,
dic-24,889k,,"1,696k",,,,,,,,,,,,,,,,,,,,,,,,
ene-25,837k,,"1,464k",,,,,,,,,,,,,,,,,,,,,,,,
feb-25,739k,,"1,261k",,,,,,,,,,,,,,,,,,,,,,,,
mar-25,795k,,"1,384k",,,,,,,,,,,,,,,,,,,,,,,,
abr-25,802k,232k,"1,368k",,,,,,,,,,,,,,,,,,,,,,,,
may-25,795k,232k,"1,437k",,,,,,,,,,,,,,,,,,,,,,,,
jun-25,894k,294k,"1,406k",245k,,,,,,,,,,,,,,,,,,,,,,,
jul-25,847k,262k,"1,496k",273k,,,,,,,,,,,,,,,,,,,,,,,
ago-25,855k,271k,"1,520k",281k,,,,,,,,,,,,,,,,,,,,,,,
sep-25,855k,271k,"1,496k",273k,,,,,,,,,,,,,,,,,,,,,,,
